Number|Name|Type|Feature|Feature - Story
481|Upload(mem info) not working in IE|Defect|UI|
480|Convert - Label category details - bugs|Defect||
479|Hi res view - bugs|Defect||
478|Error while running the rake task tire:import CLASS='Label'|Defect|User migration|
477|Literature Section , Journal - fields are not not migrated as expected|Defect|User migration|
476|Add meminfo defects - 2|Defect||
475|Alphabets with no matching artist names are not shown in artist search|Defect|UI|
474|Grey watermark comes with black border if the image background is empty|Defect||
473|Migration: Generate stamp image for label|Task|User migration|
472|Hi res watermarking fails for large tiff images.|Defect||
471|Migration: Migrate Estate Users|Story|User migration|
470|Migration: Setup Continuous Migration|Task|User migration|
469|Video and Document Watermarking is not working in UAT|Defect||
468|Add labels to Labels Collected|Task||
467|view other's bluelabel member info|Defect||
466|Member info -Time out|Defect||
465|Bugs - Link, Literature, Exhibition|Defect||
463|Print - Image size|Defect||
462|Contacts - feedback|Task|UI|
461|Request to Delete Blue Label|Story|Label|
459|Edit migrated white label - displayed image is out of the box that hides other fields|Defect||
458|Print Label:When a user has not logged in,he should not be able to print the label|Defect||
457|Migrate simple member info (Links, Exhibition histories and Literature)|Story|User migration|#235 Legacy Data Migration
456|Contacts:Pending Requests should be indicated by an icon in the contacts tab|Task|UI|
455|Print Label:Edition size and Artist's proof values are incorrect when their values are zero|Defect||
454|Contacts:Unapproved users should see proper error message on seeing contacts tab|Defect||
453|Add journal name, volume and issue to literature|Task|User migration|
452|Newly registered to be migrated : Migration|Story||
451|Sorting by sender doesnt work in Admin inbox|Defect||
449|video watermark bug|Defect||
448|Admin mailbox read/unread message appearance|Task||
447|Unauthorised artist should not be able to convert White Label to Blue Label|Defect|UI|
446|Admin sort arrow direction|Defect||
445|Video Watermarking is not working in UAT|Task||
444|Grey Watermarking Options for Image|Task||
443|View White label:Additional Duration information should not be displayed if Duration type is not chosen.|Defect||
442|Edit White Label: Convert White Label page comes on validation failue|Defect||
441|Search filters: Sort by Title - Labels with No Title should be sorted in the end.|Defect||
440|Grid view label thumbnail doesnt appear and sort fails after quick search|Defect||
439|Migrate Notes from old website|Story|User migration|
438|Admin Landing Page:'Mails' should be changed to 'Notifications'|Defect||
437|Estate user cannot login after approval|Defect||
436|Upload Thumbnail:Error message should be shown on uploading a pdf/doc file|Defect||
435|Unsubscribe users doesn't work as expected|Defect|Legacy App Migration|
434|Edit - Image in grid view doesnt change|Defect||
433|Update button disappears and someother ...|Defect||
432|Public presentation details values are retained|Defect||
431|BlueLabel: Adding member information throws access denied exception|Defect||
430|IE8:Pop up :This is how label will appear doesn't display label details and label|Defect|Legacy App Migration|
429|Allow concurrent user creating labels|Task||
428|Performance : Fix pending environment issues|Task||
427|Update Public Profile for migrated artists and artist estates|Story|User migration|#235 Legacy Data Migration
426|Set up Test Env for Migrated Data|Story|User migration|#235 Legacy Data Migration
425|Labels Grid View: Have some empty label placeholders|Defect|UI|
424|Label Grid view page:Sorting should be based on Artist's last name and not on Artist's full time|Defect||
423|Clicking on cancel in the convert page,should take the user back to the detailed view of the white label|Defect||
422|Error message needs to be changed on failure of thumbnail watermarking|Task||
421|Error message needs to be changed on failure of thumbnail watermarking|Task||
420|Create White Label - UI Changes|Defect|UI|
419|Add performance specs for user registration,user login and quick search.|Task|NFR/CFR|
418|Convert to Blue Label: Warning message should be displayed if the artist names dont match|Defect||
417|Artist name is not aligned properly with the title in BlueLabel detailed view|Defect|UI|
416|For Sculptures,Weight(type and values) is mandatory for blue label.|Defect||
415|Error message is not aligned properly for empty signature fields|Defect||
414|Additional Dimension Information is not mandatory for bluelabel when type is variable and H/W/D values are given|Defect||
413|Convert to Blue Label page: Page Header needs to be changed and help text missing|Defect||
412|Search filters:No results are shown for some categories when there are more labels,say 50+ labels|Defect||
411|Getting route error on creating new label|Defect||
410|IE8: Bluelabel tab name is changed to #top when user plays videos|Defect|Legacy App Migration|
409|unable to play the uploaded video for a label|Defect|Legacy App Migration|
408|Edit White Label: if the duration type is edited as not applicable,the old values are still retained|Defect||
407|Edit White Label: if the duration type is edited as not applicable,the old values are still retained|Defect||
406|Create White label - Performance or Action: Additional Dimension Info is not mandatory and Additional Duration Info is mandatory|Defect||
405|Member login & join Bluelabel Form Public site doesnt redirect to HTTPS version of www.bluelabel.net|Defect|Legacy App Migration|
404|Public Site : Search by artist issue|Defect|Legacy App Migration|
403|Duplicate value of location history is shown to user in My home page|Defect|Legacy App Migration|
402|Format exception when user collects certain labels|Defect|Legacy App Migration|
401|Object reference not set to instance exception thrown at times|Defect|Legacy App Migration|
400|Search by category at time breaks the application|Defect|Legacy App Migration|
399|SQL exception error is thrown at time|Defect|Legacy App Migration|
398|Exception when user tries to view a no image Label|Defect|Legacy App Migration|
397|Exception on user registration|Defect|Legacy App Migration|
396|Exception on log out|Defect|Legacy App Migration|
395|Sever error when user tries to login with a wrong password|Defect|Legacy App Migration|
394|Bluelable Public site is down|Defect|Legacy App Migration|
393|System breaks when user Searches for labels from home page when not logged in|Defect|Legacy App Migration|
392|Artist unable to send a mail to admin|Defect|Legacy App Migration|
391|Getting started with BlueLabel Documents are missing so App Breaks|Defect|Legacy App Migration|
390|Create White Label:Dimension Information is not saved for sculptures|Defect||
389|Pagination to occur after 18 results|Task|Search|
388|Video quality is affected after watermarking|Task||
387|Code metrics|Story|Technical|
386|Image slideshow not played in loop stops with the last image|Defect|Legacy App Migration|
385|Html content seen when user adds and modifies his home page content|Defect|Legacy App Migration|
384|Defects_Dec_20_2011_Migrated_Site|Defect|Legacy App Migration|
383|Defects_Dec_19_2011_Migrated_Site|Defect|Legacy App Migration|
381|Improve logging in 'Pulses' app|Story|Technical|
380|My accounts page: Help text needs to be added.|Defect||
379|Labels Filter disappears when there are no results for the previous search|Defect||
378|No warning on changing category|Defect||
377|In Edit White Label Page,Header text needs to be changed to Edit White Label|Defect||
376|For the category print and printed matter,Artist's proof and sheet dimensions need to be made mandatory for blue label|Defect||
375|Image doesnt appear in label search|Defect||
374|'watermarking in progress' status not refreshed|Defect||
373|Labels sort - no route error|Defect||
372|My accounts page: city and gender selections are not saved|Defect||
370|Profile page - image|Defect||
369|User Registration: Message template is missing when rejecting a user.|Defect||
368|create white label - Defects|Defect||
367|No error message is shown when trying to upload a corrupted image for thumbnail|Defect||
366|Create labels UI bugs|Defect||
365|Image rights checkbox|Defect||
364|Disable job orchestration and tire while migrating data : Migration|Story|User migration|#235 Legacy Data Migration
363|Migration: Import member info with assets|Story|User migration|#235 Legacy Data Migration
362|Send email notification to old user : Migration|Story|User migration|#235 Legacy Data Migration
361|Accept the new terms and condition and also to accept new fields if any : Migration|Story|User migration|#235 Legacy Data Migration
360|Migrate contacts data : Migration|Story|User migration|#235 Legacy Data Migration
359|Migrate mailbox data : Migration|Story|User migration|#235 Legacy Data Migration
358|Label change request : Migration|Story|User migration|#235 Legacy Data Migration
357|Migration: Convert Tiff/Tif images to jpeg|Story|User migration|#235 Legacy Data Migration
356|Migrate Folders (Collections) : Migration|Story|User migration|#235 Legacy Data Migration
355|Create a new label and see it listed : Migration|Story|User migration|#235 Legacy Data Migration
354|Old user be able to see their labels, and as well filter : Migration|Story|User migration|#235 Legacy Data Migration
353|Old user be able to login : Migration|Story|User migration|#235 Legacy Data Migration
352|Update watermark image with svg image|Story|Label|
351|Delete multiple objects from S3 in one request|Story|Technical|
350|For the category photographs, artists proof should be made mandatory|Defect||
349|Multiple Artists with same name|Story||
348|Account settings bugs|Defect|UI|
347|Autocomplete doesnt work for city search|Defect||
346|For Dimensions,if Not Applicable is chosen ,then the dimensions fields should be greyed out|Defect||
345|View label details - bugs Part 2|Defect||
344|Update Document watermark colour with 15% opacity|Task|Label|
343|UI Story - Build carousel for hi-res and slideshow images|Story|Label|
342|Label Detailed View: For videos, display values have to changed to yes/no from true/false|Defect||
341|Watermark Document Analysis|Task|Label|
340|Spike for Print|Story|Technical|
339|Generate Thumbnails for Hi-Res and Slideshow images|Story|Label|
338|set context navigation for browser|Story|Search|
337|View labels in the selected folder|Story|Search|
336|Set context navigation for previous/next|Story|Search|
335|List labels in the chosen folder : Pop up view|Story|Search|
334|List folders for breadcrumb as a drop down|Story|Search|
333|More than one user(different usertypes) can be created with the same username|Defect||
332|Search labels - filter options (new design)|Story|Search|
331|Admin - Search Labels (New design)|Story|Admin Interface|
330|Approve/Reject User Registration and conversations (New Design)|Story|Admin Interface|
329|Admin - View pending registration request (New Design)|Story|Admin Interface|
328|Admin-Label Search: doesnt return all/white/blue labels|Defect||
327|Error messages need to be changed in forgot password page|Defect||
326|A-Z search: The first available artist name is not highlighted|Defect||
325|A-Z Search: 0-9 category is wrapped to the next line when selected|Defect||
324|Sign in page comes up even after login|Defect||
323|Member Info - Hi-Res, Slideshow, links, notes and history|Story|Label|
322|Feedback : Card for minor changes|Story||
321|Member Info - Upload Video and Document (new design)|Story|Label|
320|My account setting (new design)|Story|My Account|
317|View Labels - Created Labels : Grid View (New Design)|Story|Label|
316|Create and View White label - Detailed|Story|Label|
315|Release 1|Release||
314|Iteration 15 (9)|Iteration||
313|Iteration 14 (8)|Iteration||
312|Iteration 13 (7)|Iteration||
311|Search Artists - A to Z (new design)|Story||
309|Registrataion: Error message not shown if year is not in the format yyyy|Defect||
308|Exception thrown when admin tries to send an empty notification to the user|Defect||
307|Add Exhibition history, literature and/or links to multiple labels at a time|Story||
306|Image is not deleted on watermark failure|Defect||
304|Admin Pending Approvals: Usernames with unread notifications need to be highlighted|Task|Admin Interface|
303|Path needs to be removed from the notification attachments|Defect||
302|Make pulses intelligent for monitoring|Story||#234 Technical
301|Iteration 12 (6)|Iteration||
300|Iteration 11 (5)|Iteration||
298|view member|Story|Admin Interface|
297|Free text search after login - acceptance dialog need not be shown|Defect||
296|View Label:Detailed view-Dimension and Duration info Defects|Defect||
295|Quick search doesnt work for category based search|Defect||
294|View label details - bugs|Defect||
293|Watermark image size for thumbnail needs to be changed|Defect||
292|Login or Join (new design)|Story|Registration|#231 Registration
289|Provide unique URL for Artist's/Artist's Estate's Home page|Story||
288|Edit Member information on Label|Story|Label|
287|Admin-Search Labels: Exception is thrown|Defect||
286|Share Blue Label|Story||
285|Adding fabricator for sculptures doesnt work in firefox|Defect||
284|View Pending list of approvals: Sorting in descending order doesnt work|Defect||
283|Unapproved users should not have access to 'my account' page|Task|My Account|
282|Add full Title|Story|Label|#226 Label
281|Remove Hi res Image|Task||
280|Doc watermark - pdf placed in wrong path|Defect||
279|Feedback on story #1 (Estate Registration Text)|Task||
278|If firstname is not given for an artist, public profile page shows the username as ,<lastname>|Defect||
277|Hi-res images: Image title needs to be displayed when the watermarking is in progress|Defect||
276|Tif image type should also be accepted for hi-res images|Task||
275|Pending member approvals count is always shown as zero in the approve/reject member page|Defect||
274|User names - White spaces need to be trimmed|Defect||
273|Add Contacts-Search: Need not be case-sensitive|Task||
272|Add Contact : User not listed in the search results if he has left his first name empty|Defect||
271|First Name should be marked mandatory for art professional registration|Defect||
270|Error on approval|Defect||
269|Estate user should be able to create artist's homepage|Story|Artist home page|
268|Attachment download even without log in.|Defect||
267|Automation Setup|Task||
266|Create White Label (new design)|Story|Label|#226 Label
265|Change First name last name display|Story|My Account|
264|UI Tasks|Risk||
263|Update text on activation email|Story|Registration|
262|Create Blue Label - Tasks|Task||
261|Unapproved artist should not have access to my public homepage tab|Defect||
260|Search bug|Defect||
259|Upload Attachment: Error message should be changed when an unsupported file type is chosen for upload|Defect||
258|Admin search labels: Search results are not proper when the search string is given in double quotes|Defect||
257|Create White label/Blue label buttons should be deactivated when the thumbnail upload is in progress|Defect||
256|Year of work should not be marked mandatory for create white label|Defect||
255|Firefox: Session is not retained when browser back button is clicked|Defect||
254|Invalid Username/email need not be hightlighted in the forgot password page|Defect||
253|Error msg needs to be changed when image file is not chosen before upload|Defect||
252|Logout message when another session is opened or inactivity|Task|My Account|
251|Clicking on the confirmation link twice throws application error|Defect||
250|Label Search: Creator name cannot be sorted in descending order|Defect||
249|Set account preferences through pop-up|Story|My Account|
248|Random characters are added in pages field when adding literature Reference|Defect||
247|Mandatory fields should be marked in the Add member information page|Defect||
246|Hi-res image should open in a new tab/window|Defect||
245|Two hi-res images can be added with the same title|Defect||
244|Exported csv file doesnt have the proper email configurations|Defect||
243|Application error is thrown when an invalid username is given in the login page|Defect||
242|Add Literature Reference- Defects|Defect||
241|Add Member only info - Additional Notes field missing for Literature Reference|Defect||
240|Notification bar shows exception after confirmation mail is resent|Defect||
239|Uploading hi-res image throws application error|Defect||
238|Dev - mini tasks|Task||
237|UI - Feedback tasks|Task||
236|Website|Feature||
235|Legacy Data Migration|Feature||
234|Technical|Feature||
233|Tagging|Feature||
232|Search|Feature||
231|Registration|Feature||
230|Notifications|Feature||
229|NFR/CFR|Feature||
228|My Account|Feature||
227|Messaging|Feature||
226|Label|Feature||
225|Artist's home page|Feature||
224|Analytics|Feature||
223|Generate and view Image Credit Information (thumbnail)|Story|Label|#226 Label
222|View Member information on Label|Story|Label|#226 Label
221|Emily's Feedback - UI changes|Task||
220|Artist first name is cleared if any of the mandatory field values is left empty in create white label page|Defect||
219|Error message to be displayed if the artist's name is more than 255 characters|Defect||
218|Access without activation|Defect||
217|Wrong notification for admin user|Defect||
216|View Created Labels - Completeness of art info|Story|Label|#226 Label
215|Resend Contact Request|Story|Messaging|
214|Rejected user should not be allowed to login|Defect||
213|Case should not be considered while sorting|Defect||
212|Artist details must also be shown for estate approvals|Defect||
211|Confirmation link should expire in 2 weeks|Defect||
210|User approval status has to be displayed on all pages|Defect||
209|Session logout|Defect||
208|Export to Excel|Story|Admin Interface|#195 Admin Interface
207|Registration Validations|Defect||
206|Reset password page throws application error for few passwords|Defect||
205|No error message is shown if the user's age is less than 18 years|Defect||
204|Add Personal Information Page throws Exception|Defect||
203|Add Personal Information Page throws Exception|Defect||
202|Add Personal Information Page throws Exception|Defect||
201|Create BlueLabel AMI|DevOps||
200|Logs in as previous user|Defect||
199|Login/Logout-Defects|Defect||
198|Forgot Password - Defects|Defect||
197|Add Member Information Upload Attachment - Defects|Defect||
196|Add Personal Information - Defects|Defect||
195|Admin Interface|Feature||
194|Upload Thumbnail image - Defects|Defect||
193|Duration type must be a radio button in create white label page|Defect||
192|Feedback on I1 stories|Story||
191|Show Last Login Details on user login|Story|Registration|
190|Release 2|Release||
189|Rename Label attachment|Story|Label|#226 Label
188|Create White label - Defects|Defect||
184|Iteration 0|Iteration||
183|Iteration 10 (4)|Iteration||
182|Iteration 9 (3)|Iteration||
181|Iteration 8 (2)|Iteration||
180|Iteration 7 (1)|Iteration||
179|Iteration 6|Iteration||
178|Iteration 5|Iteration||
177|Iteration 4|Iteration||
176|Iteration 3|Iteration||
175|Iteration 2|Iteration||
173|Iteration 1|Iteration||
149|Analytics|Story|Analytics|#224 Analytics
148|Performance tuning|Story|NFR/CFR|#229 NFR/CFR
147|Performance tuning|Story|NFR/CFR|#229 NFR/CFR
146|Print label|Story|Label|#226 Label
145|Deployment|Story|Technical|#234 Technical
144|Spike watermarking PDFs|Story|Technical|#234 Technical
143|Spike real time search|Story|Technical|#234 Technical
142|Spike watermarking document|Story|Technical|#234 Technical
141|Spike watermarking image|Story|Technical|#234 Technical
140|Spike watermarking videos|Story|Technical|#234 Technical
139|Spike on analytics|Story|Analytics|#224 Analytics
138|Version Control and Gem configuration spike|Story|Technical|#234 Technical
134|Migration Spike From SQLServer to PostgreSQL|Story|User migration|#235 Legacy Data Migration
133|Search Engine Indexing|Story|Search|#232 Search
132|set up UAT env|Story|Technical|#234 Technical
131|set up CI env|Story|Technical|#234 Technical
130|set up QA env|Story|Technical|#234 Technical
129|client side image cache & Image optimisation|Story|Technical|#234 Technical
128|clearing non reachable sent labels|Story|Technical|#234 Technical
127|caching and clearning purple label|Story|Technical|#234 Technical
126|Caching and clearing blue label|Story|Technical|#234 Technical
125|set up delayed/schedule job infrastructure|Story|Technical|#234 Technical
124|send notifications admin on failure of one or more services|Story|Technical|#234 Technical
123|Set up email infrastructure|Story|Technical|#234 Technical
122|view changed label|Story|Label|#226 Label
121|View Admin inbox|Story|Admin Interface|#195 Admin Interface
120|Set usage capacity per user|Story|Admin Interface|#195 Admin Interface
119|Create White Label - category specific information|Story|Label|#226 Label
118|respond to user approval notification|Story|Admin Interface|#195 Admin Interface
117|remove contact from list of contacts|Story|Messaging|#227 Messaging
116|Respond to change request|Story|Admin Interface|#195 Admin Interface
114|View user details change request|Story|Admin Interface|#195 Admin Interface
113|receive notification and email on attachment watermarking failure|Story|Label|#226 Label
111|Clear Message inbox/sent box|Story|Messaging|#227 Messaging
110|View labels - more filter option - year|Story|Search|#232 Search
109|view labels - more filter options|Story|Search|#232 Search
108|View received labels - messages inbox|Story|Messaging|#227 Messaging
107|View sent box|Story|Notifications|#230 Notifications
106|View notification inbox|Story|Notifications|#230 Notifications
103|Rename Folder|Story|Label|#226 Label
102|Resend activation email|Story|Registration|#231 Registration
101|View Hi-res images|Story|Label|#226 Label
100|Watermark Hi-res images|Story|Label|#226 Label
99|Watermark slideshow image|Story|Label|#226 Label
98|View Label details for Admin user|Story|Admin Interface|#195 Admin Interface
97|View user details|Story|Admin Interface|#195 Admin Interface
96|View pending user approvals|Story|Admin Interface|#195 Admin Interface
94|View labels - Labels created|Story|Label|#226 Label
93|Delete comments on blog|Story|Artist home page|#225 Artist's home page
92|View comments on blog|Story|Artist home page|#225 Artist's home page
91|Moderate blog comments|Story|Artist home page|#225 Artist's home page
90|Add comment to blog|Story|Artist home page|#225 Artist's home page
89|Convert White Label to Purple|Story|Label|#226 Label
88|Forgot username|Story|My Account|#228 My Account
87|Update Artist profile posthumously|Story|Artist home page|#225 Artist's home page
86|Choose labels to display on artist home page|Story|Artist home page|#225 Artist's home page
84|Customize Artist home page|Story|Artist home page|#225 Artist's home page
83|View Label -Curator's choice label sequencing|Story|Label|#226 Label
82|Artist's choice label sequencing(1) - Selecting from default choices|Story|Label|#226 Label
80|View status on attachments pending watermarking|Story|Label|#226 Label
79|Approve/Reject contact request|Story|Messaging|#227 Messaging
78|View status of contact request|Story|Messaging|#227 Messaging
77|Add a contact|Story|Messaging|#227 Messaging
76|Respond to admin notifications|Story|Notifications|#230 Notifications
75|View notification|Story|Messaging|#227 Messaging
74|Migration - Analysis|Story|User migration|#235 Legacy Data Migration
73|Deployment|Story|Technical|#234 Technical
72|Performance|Story|NFR/CFR|#229 NFR/CFR
70|Website homepage - static pages|Story|Website|#236 Website
69|Free text Search - quick search before login|Story|Search|#232 Search
68|Search Artists - Map search|Story|Search|#232 Search
66|Search Artists - Alphabetic Search|Story|Search|#232 Search
65|Search Labels - Search Criteria|Story|Search|#232 Search
64|Free Text Search - quick search after login|Story|Search|#232 Search
62|Sort label view - Artist's view|Story|Label|#225 Artist's home page
61|Sort Label view|Story|Search|#232 Search
59|View Labels - Detail view|Story|Label|#226 Label
58|Website Home Page - in the news|Story|Website|#236 Website
57|Create BlueLabel Home Page|Story|Website|#236 Website
56|View blue labels of an artist|Story|Artist home page|#225 Artist's home page
55|Delete Blog Post|Story|Artist home page|#225 Artist's home page
54|Edit Blog Post|Story|Artist home page|#225 Artist's home page
53|Publish Blog|Story|Artist home page|#225 Artist's home page
52|Add Blog|Story|Artist home page|#225 Artist's home page
51|Update Biography|Story|Artist home page|#225 Artist's home page
50|Create artist's homepage - add biography|Story|Artist home page|#225 Artist's home page
49|Send Labels|Story|Messaging|#227 Messaging
47|View messages Inbox|Story|Messaging|#227 Messaging
46|Forgot Password|Story|My Account|#228 My Account
45|Email subscription settings|Story|My Account|#228 My Account
44|Place location on map|Story|My Account|#228 My Account
43|Request change to Name/Email ID on account|Story|My Account|#228 My Account
42|Change username/password|Story|My Account|#228 My Account
41|Login/Logout|Story|My Account|#228 My Account
38|Add/Remove tag to a label|Story|Label|#226 Label
37|Delete Blue/Purple Labels - Admin|Story|Admin Interface|#195 Admin Interface
36|View changes to purple labels|Story|Admin Interface|#195 Admin Interface
34|Email Tracking|Story|Admin Interface|#195 Admin Interface
33|Search Labels - Handling blocked labels (Admin and user search)|Story|Admin Interface|#195 Admin Interface
32|Block/unblock Label|Story|Admin Interface|#195 Admin Interface
31|Search Label - Admin|Story|Admin Interface|#195 Admin Interface
30|Respond to change request from member|Story|Admin Interface|#195 Admin Interface
29|Accept/Reject Label Change request|Story|Admin Interface|#195 Admin Interface
28|View Label change request|Story|Admin Interface|#195 Admin Interface
27|Request Blue Label member info edit|Story|Label|#226 Label
26|Request Blue Label Public info edit|Story|Label|#226 Label
25|Update Public Information on Purple Label|Story|Label|#226 Label
24|Create Purple Label|Story|Label|#226 Label
23|Convert White Label to Blue|Story|Label|#226 Label
21|Help|Story|Label|
20|Delete White Label|Story|Label|
19|Add Member Info - Add/View Links|Story|Label|
18|View Videos|Story|Label|
17|Watermark Video Attachment|Story|Label|
16|Add Member Info - Upload Video|Story|Label|
15|Watermark PDF Attachment|Story|Label|
14|Watermark document attachment|Story|Label|
13|Add Member Information - upload Document Attachment|Story|Label|
12|Add Member only info - Hi Res Images|Story|Label|
11|View Image Slideshow|Story|Label|
10|Edit white label|Story|Label|
9|Add Member only info - Image slideshow|Story|Label|
8|Add Member only Information to Label|Story|Label|
6|Watermark Thumbnail|Story|Label|
5|Upload Thumbnail to Label|Story|Label|
4|Create White Label|Story|Label|
3|Activate User (Receive user registration email)|Story|Admin Interface|#195 Admin Interface
2|Approve/Reject User Registration|Story|Admin Interface|#195 Admin Interface
1|Add Personal Information|Story|Registration|#231 Registration

